Il_1,Il_2
Adana,Hatay
Adana,Kahramanmaraş
Adana,Kayseri
Adana,Mersin
Adana,Niğde
Adana,Osmaniye
Adıyaman,Diyarbakır
Adıyaman,Gaziantep
Adıyaman,Kahramanmaraş
Adıyaman,Malatya
Adıyaman,Şanlıurfa
Afyonkarahisar,Burdur
Afyonkarahisar,Denizli
Afyonkarahisar,Eskişehir
Afyonkarahisar,Isparta
Afyonkarahisar,Konya
Afyonkarahisar,Kütahya
Afyonkarahisar,Uşak
Aksaray,Ankara
Aksaray,Konya
Aksaray,Kırşehir
Aksaray,Nevşehir
Aksaray,Niğde
Amasya,Samsun
Amasya,Tokat
Amasya,Yozgat
Amasya,Çorum
Ankara,Bolu
Ankara,Eskişehir
Ankara,Konya
Ankara,Kırıkkale
Ankara,Kırşehir
Ankara,Çankırı
Antalya,Burdur
Antalya,Isparta
Antalya,Karaman
Antalya,Konya
Antalya,Mersin
Antalya,Muğla
Ardahan,Artvin
Ardahan,Erzurum
Ardahan,Kars
Artvin,Erzurum
Artvin,Rize
Aydın,Denizli
Aydın,Manisa
Aydın,Muğla
Aydın,İzmir
Ağrı,Bitlis
Ağrı,Erzurum
Ağrı,Iğdır
Ağrı,Kars
Ağrı,Muş
Ağrı,Van
Balıkesir,Bursa
Balıkesir,Kütahya
Balıkesir,Manisa
Balıkesir,Çanakkale
Balıkesir,İzmir
Bartın,Karabük
Bartın,Kastamonu
Bartın,Zonguldak
Batman,Bitlis
Batman,Diyarbakır
Batman,Mardin
Batman,Muş
Batman,Siirt
Bayburt,Erzincan
Bayburt,Erzurum
Bayburt,Gümüşhane
Bayburt,Rize
Bayburt,Trabzon
Bilecik,Bolu
Bilecik,Bursa
Bilecik,Eskişehir
Bilecik,Kütahya
Bilecik,Sakarya
Bingöl,Diyarbakır
Bingöl,Elazığ
Bingöl,Erzincan
Bingöl,Erzurum
Bingöl,Muş
Bingöl,Tunceli
Bitlis,Muş
Bitlis,Siirt
Bitlis,Van
Bolu,Düzce
Bolu,Eskişehir
Bolu,Karabük
Bolu,Sakarya
Bolu,Zonguldak
Bolu,Çankırı
Burdur,Denizli
Burdur,Isparta
Burdur,Muğla
Bursa,Kocaeli
Bursa,Kütahya
Bursa,Sakarya
Bursa,Yalova
Denizli,Manisa
Denizli,Muğla
Denizli,Uşak
Diyarbakır,Elazığ
Diyarbakır,Malatya
Diyarbakır,Mardin
Diyarbakır,Muş
Diyarbakır,Şanlıurfa
Düzce,Sakarya
Düzce,Zonguldak
Edirne,Kırklareli
Edirne,Tekirdağ
Elazığ,Erzincan
Elazığ,Malatya
Elazığ,Tunceli
Erzincan,Erzurum
Erzincan,Giresun
Erzincan,Gümüşhane
Erzincan,Malatya
Erzincan,Sivas
Erzincan,Tunceli
Erzurum,Kars
Erzurum,Muş
Erzurum,Rize
Eskişehir,Konya
Eskişehir,Kütahya
Gaziantep,Hatay
Gaziantep,Kahramanmaraş
Gaziantep,Kilis
Gaziantep,Osmaniye
Gaziantep,Şanlıurfa
Giresun,Gümüşhane
Giresun,Ordu
Giresun,Sivas
Giresun,Trabzon
Gümüşhane,Trabzon
Hakkari,Van
Hakkari,Şırnak
Hatay,Osmaniye
Isparta,Konya
Iğdır,Kars
Kahramanmaraş,Kayseri
Kahramanmaraş,Malatya
Kahramanmaraş,Osmaniye
Kahramanmaraş,Sivas
Karabük,Kastamonu
Karabük,Zonguldak
Karaman,Konya
Karaman,Mersin
Kastamonu,Sinop
Kayseri,Nevşehir
Kayseri,Niğde
Kayseri,Sivas
Kayseri,Yozgat
Kocaeli,Sakarya
Kocaeli,Yalova
Konya,Mersin
Konya,Niğde
Kütahya,Manisa
Kütahya,Uşak
Kırklareli,Tekirdağ
Kırıkkale,Kırşehir
Kırıkkale,Yozgat
Kırşehir,Nevşehir
Kırşehir,Yozgat
Malatya,Sivas
Manisa,Uşak
Mardin,Siirt
Mardin,Şanlıurfa
Mardin,Şırnak
Mersin,Niğde
Nevşehir,Niğde
Nevşehir,Yozgat
Ordu,Samsun
Ordu,Sivas
Ordu,Tokat
Rize,Trabzon
Samsun,Sinop
Samsun,Tokat
Siirt,Van
Siirt,Şırnak
Sivas,Tokat
Sivas,Yozgat
Tokat,Yozgat
Çanakkale,Edirne
Çanakkale,Tekirdağ
Çankırı,Karabük
Çankırı,Kastamonu
Çankırı,Kırıkkale
Çankırı,Çorum
Çorum,Kastamonu
Çorum,Kırıkkale
Çorum,Samsun
Çorum,Sinop
Çorum,Yozgat
İstanbul,Kocaeli
İstanbul,Kırklareli
İstanbul,Tekirdağ
İzmir,Manisa
Şırnak,Van
